College Name,Location,Branch 1,Fees 1,Branch 2,Fees 2,Link
Marathwada Institute of Technology - [MIT],"Bulandshahr, Uttar Pradesh",B.Tech Electronics & Communicati...,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/14282-marathwada-institute-of-technology-mit-bulandshahr/courses-fees?course_id=2055
Moradabad Institute of Technology - [MIT],"Moradabad, Uttar Pradesh",B.Tech Civil Engineering,"₹ 89,375",B.Tech Artificial Intelligence a...,"₹ 89,375",https://collegedunia.com/college/14364-moradabad-institute-of-technology-mit-moradabad/courses-fees?course_id=1938
KLS Institute of Engineering and Technology -[KLSIET],"Bijnor, Uttar Pradesh",B.Tech Civil Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/57535-kls-institute-of-engineering-and-technology-klsiet-bijnor/courses-fees?course_id=1938
Mallabhum Institute of Technology - [MIT],"Bishnupur, West Bengal",B.Tech Civil Engineering,"₹ 91,950",B.Tech Mechanical Engineering,"₹ 91,950",https://collegedunia.com/college/14246-mallabhum-institute-of-technology-mit-bishnupur/courses-fees?course_id=1938
Suyash Institution of Information Technology,"Gorakhpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 55,000",,,https://collegedunia.com/college/15378-suyash-institution-of-information-technology-gorakhpur/courses-fees?course_id=2049
Sanskar Educational Group - [SEG],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,04,500",B.Tech Data Science,"₹ 1,04,500",https://collegedunia.com/college/24483-sanskar-educational-group-seg-ghaziabad/courses-fees?course_id=2049
Vision Institute of Technology [VIT],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/45871-vision-institute-of-technology-vit-kanpur/courses-fees?course_id=2049
Institute of Technology & Management - [ITM],"Aligarh, Uttar Pradesh",B.Tech Information Technology,"₹ 61,200",B.Tech Computer Science Engineering,"₹ 61,200",https://collegedunia.com/college/28409-institute-of-technology-and-management-itm-aligarh/courses-fees?course_id=5122
IIMT Engineering College,"Meerut, Uttar Pradesh",B.Tech Civil Engineering,N/A,B.Tech Artificial Intelligence,N/A,https://collegedunia.com/college/13754-iimt-engineering-college-meerut/courses-fees?course_id=1938
JMS Group of Institutions,"Hapur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 82,254",,,https://collegedunia.com/college/58556-jms-group-of-institutions-hapur/courses-fees?course_id=2049
Prasad Institute of Technology - [PIT],"Jaunpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",B.Tech Mechanical Engineering,"₹ 2,44,800",https://collegedunia.com/college/14586-prasad-institute-of-technology-pit-jaunpur/courses-fees?course_id=2049
Vivekanand Institute of Technology and Science - [VITS],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/15529-vivekanand-institute-of-technology-and-science-vits-ghaziabad/courses-fees?course_id=2049
Rajshree Institute of Management and Technology - [RIMT],"Bareilly, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 71,200",,,https://collegedunia.com/college/14738-rajshree-institute-of-management-and-technology-rimt-bareilly/courses-fees?course_id=2049
Bhagwant Institute of Technology - [BIT],"Muzaffarnagar, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,45,000",B.Tech Mechanical Engineering,"₹ 2,45,000",https://collegedunia.com/college/13034-bhagwant-institute-of-technology-bit-muzaffarnagar/courses-fees?course_id=2049
Babu Sunder Singh Institute of Technology and Management - [BSSITM],"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/15640-babu-sunder-singh-institute-of-technology-and-management-bssitm-lucknow/courses-fees?course_id=2049
Techno International - Batanagar,"South 24 Parganas, West Bengal",B.Tech Computer Science and Engi...,"₹ 1,08,800",B.Tech Cyber Security,,https://collegedunia.com/college/28438-techno-international-batanagar-south-24-parganas/courses-fees?course_id=26137
Shri Siddhi Vinayak Group of Institutions - [SSVGI],"Bareilly, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 80,000",,,https://collegedunia.com/college/15110-shri-siddhi-vinayak-group-of-institutions-ssvgi-bareilly/courses-fees?course_id=2049
Adhunik College of Engineering - [ACE],"Ghaziabad, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 65,000",,,https://collegedunia.com/college/58565-adhunik-college-of-engineering-ace-ghaziabad/courses-fees?course_id=2049
Lloyd Institute of Management and Technology,"Greater Noida, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,32,000",,,https://collegedunia.com/college/21216-lloyd-institute-of-management-and-technology-greater-noida/courses-fees?course_id=2049
Hindustan College of Science and Technology - [HCST],"Mathura, Uttar Pradesh",B.Tech Chemical Engineering,N/A,B.Tech Civil Engineering,N/A,https://collegedunia.com/college/13722-hindustan-college-of-science-and-technology-hcst-mathura/courses-fees?course_id=1937
RISHI Institute of Engineering and Technology - [RIET],"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/14778-rishi-institute-of-engineering-and-technology-riet-meerut/courses-fees?course_id=2049
ACE College Of Engineering & Management,"Agra, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/58740-ace-college-of-engineering-and-management-agra/courses-fees?course_id=2049
Sunder Deep Engineering College - [SDEC],"Ghaziabad, Uttar Pradesh",B.Tech Artificial Intelligence a...,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/15358-sunder-deep-engineering-college-sdec-ghaziabad/courses-fees?course_id=15865
Sunrise Institute of Engineering Technology & Management - [SIETM],"Unnao, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/58551-sunrise-institute-of-engineering-technology-and-management-sietm-unnao/courses-fees?course_id=2049
Meerut International Institute of Technology - [MIIT],"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/14319-meerut-international-institute-of-technology-miit-meerut/courses-fees?course_id=2049
Dewan V.S. Institute of Engineering & Technology - [DVSIET],"Meerut, Uttar Pradesh",B.Tech Electronics & Communicati...,N/A,B.Tech Computer Science Engineering,N/A,https://collegedunia.com/college/13339-dewan-vs-institute-of-engineering-and-technology-dvsiet-meerut/courses-fees?course_id=2055
Dr. Virendra Swarup Group of Institutions - [VSGOI],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",B.Tech Civil Engineering,"₹ 2,44,800",https://collegedunia.com/college/58498-dr-virendra-swarup-group-of-institutions-vsgoi-kanpur/courses-fees?course_id=2049
Rakshpal Bahadur College of Engineering & Technology - [RBCET],"Bareilly, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 75,000",,,https://collegedunia.com/college/58098-rakshpal-bahadur-college-of-engineering-and-technology-rbcet-bareilly/courses-fees?course_id=2049
Gargi Memorial Institute of Technology - [GMIT],"Kolkata, West Bengal",B.Tech Electronics & Communicati...,"₹ 1,24,700",B.Tech Civil Engineering,"₹ 1,24,700",https://collegedunia.com/college/28335-gargi-memorial-institute-of-technology-gmit-kolkata/courses-fees?course_id=2055
Apollo Institute of Technology - [AIT],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,N/A,,N/A,https://collegedunia.com/college/12856-apollo-institute-of-technology-ait-kanpur/courses-fees?course_id=2049
Shri Ram Group of Colleges - [SRGC],"Muzaffarnagar, Uttar Pradesh",B.Tech Mechanical Engineering,"₹ 61,200",B.Tech Electrical Engineering,"₹ 61,200",https://collegedunia.com/college/58568-shri-ram-group-of-colleges-srgc-muzaffarnagar/courses-fees?course_id=2094
CIPET- Institute Of Plastics Technology - [IPT],"Lucknow, Uttar Pradesh",B.Tech Plastic Technology,"₹ 2,45,000",B.Tech Manufacturing Technology,"₹ 2,45,000",https://collegedunia.com/college/13170-cipet-institute-of-plastics-technology-ipt-lucknow/courses-fees?course_id=2116
Prayag Institute of Technology & Management,"Allahabad, Uttar Pradesh",B.Tech Civil Engineering,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/59593-prayag-institute-of-technology-and-management-allahabad/courses-fees?course_id=1938
Institute of Technology and Management - [ITM],"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 55,000",,,https://collegedunia.com/college/18065-institute-of-technology-and-management-itm-meerut/courses-fees?course_id=2049
College of Engineering and Rural Technology - [CERT],"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,N/A,,N/A,https://collegedunia.com/college/13261-college-of-engineering-and-rural-technology-cert-meerut/courses-fees?course_id=2049
Dumkal Institute of Engineering & Technology- [DIET],"Murshidabad, West Bengal",B.Tech Electrical Engineering,"₹ 52,858",B.Tech Civil Engineering,"₹ 52,858",https://collegedunia.com/college/13415-dumkal-institute-of-engineering-and-technology-diet-murshidabad/courses-fees?course_id=2052
Vishveshwarya Group of Institutions - [VGI],"Greater Noida, Uttar Pradesh",B.Tech Electronics & Communicati...,"₹ 61,200",B.Tech Cyber Security,"₹ 61,200",https://collegedunia.com/college/24614-vishveshwarya-group-of-institutions-vgi-greater-noida/courses-fees?course_id=2055
LDC Institute of Technical Studies,"Allahabad, Uttar Pradesh",B.Tech Electrical and Electronic...,"₹ 77,950",B.Tech Artificial Intelligence a...,"₹ 77,950",https://collegedunia.com/college/14065-ldc-institute-of-technical-studies-allahabad/courses-fees?course_id=2051
Indus Institute of Technology and Management - [IITM],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 55,000",B.Tech Electronics & Communicati...,"₹ 55,000",https://collegedunia.com/college/13813-indus-institute-of-technology-and-management-iitm-kanpur/courses-fees?course_id=2049
Dr. Rizvi College of Engineering- [DRCE],"Kaushambi, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/14782-dr-rizvi-college-of-engineering-drce-kaushambi/courses-fees?course_id=2049
RD Engineering College,"Ghaziabad, Uttar Pradesh",B.Tech Data Science,"₹ 92,500",B.Tech Information Technology,"₹ 92,500",https://collegedunia.com/college/14642-rd-engineering-college-ghaziabad/courses-fees?course_id=15263
MG Institute of Management and Technology - [MGIMT],"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 73,506",,,https://collegedunia.com/college/14135-mg-institute-of-management-and-technology-mgimt-lucknow/courses-fees?course_id=2049
Sagar Institute of Technology and Management - [SITM],"Barabanki, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/14890-sagar-institute-of-technology-and-management-sitm-barabanki/courses-fees?course_id=2049
Neelam Group Of Institutions - [NGI],"Agra, Uttar Pradesh",B.Tech Electrical Engineering,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/57615-neelam-group-of-institutions-ngi-agra/courses-fees?course_id=2052
Greater Noida College,"Greater Noida, Uttar Pradesh",B.Tech Artificial Intelligence,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/57069-greater-noida-college-greater-noida/courses-fees?course_id=16073
Eshan College of Engineering & Management,"Agra, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 75,000",B.Tech Electrical Engineering,"₹ 75,000",https://collegedunia.com/college/13451-eshan-college-of-engineering-and-management-agra/courses-fees?course_id=2049
Jahangirabad Institute of Technology,"Barabanki, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/57477-jahangirabad-institute-of-technology-barabanki/courses-fees?course_id=2049
Forte Institute of Technology - [FIT],"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,45,000",,,https://collegedunia.com/college/28630-forte-institute-of-technology-fit-meerut/courses-fees?course_id=2049
Delhi Institute of Engineering and Technology - [DIET],"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,N/A,,N/A,https://collegedunia.com/college/13325-delhi-institute-of-engineering-and-technology-diet-meerut/courses-fees?course_id=2049
Saroj Institute of Technology and Management - [SITM],"Lucknow, Uttar Pradesh",B.Tech Biomedical Engineering,"₹ 3,40,000",B.Tech Cyber Security,"₹ 3,40,000",https://collegedunia.com/college/14951-saroj-institute-of-technology-and-management-sitm-lucknow/courses-fees?course_id=2035
Dr MC Saxena College of Engineering and Technology - [MCSCET],"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,N/A,,N/A,https://collegedunia.com/college/13390-dr-mc-saxena-college-of-engineering-and-technology-mcscet-lucknow/courses-fees?course_id=2049
Sanaka Educational Trust's Group of Institutions- [SETGOI],"Durgapur, West Bengal",B.Tech Electrical and Electronic...,"₹ 91,000",B.Tech Civil Engineering,"₹ 91,000",https://collegedunia.com/college/58423-sanaka-educational-trusts-group-of-institutions-setgoi-durgapur/courses-fees?course_id=2051
RV Institute of Technology - [RVIT],"Bijnor, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 84,500",B.Tech Electronics & Communicati...,"₹ 74,500",https://collegedunia.com/college/14675-rv-institute-of-technology-rvit-bijnor/courses-fees?course_id=2049
Krishna Group of Institutions - [KGI],"Kanpur, Uttar Pradesh",B.Tech Civil Engineering,"₹ 65,000",B.Tech Data Science,"₹ 90,000",https://collegedunia.com/college/58543-krishna-group-of-institutions-kgi-kanpur/courses-fees?course_id=1938
Vivekananda College of Technology and Management - [VCTM],"Aligarh, Uttar Pradesh",B.Tech Electrical Engineering,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/58542-vivekananda-college-of-technology-and-management-vctm-aligarh/courses-fees?course_id=2052
Indraprastha Institute of Management & Technology - [IIMT],"Saharanpur, Uttar Pradesh",B.Tech Civil Engineering,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/28956-indraprastha-institute-of-management-and-technology-iimt-saharanpur/courses-fees?course_id=1938
Kashi Institute of Technology - [KIT],"Varanasi, Uttar Pradesh",B.Tech Artificial Intelligence a...,"₹ 1,20,000",B.Tech Computer Science Engineering,"₹ 1,20,000",https://collegedunia.com/college/13989-kashi-institute-of-technology-kit-varanasi/courses-fees?course_id=15865
Rajarshi Rananjay Sinh Institute of Management & Technology - [RRSIMT],"Amethi, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",B.Tech Electronics & Communicati...,"₹ 2,44,800",https://collegedunia.com/college/58544-rajarshi-rananjay-sinh-institute-of-management-and-technology-rrsimt-amethi/courses-fees?course_id=2049
Panchwati Institute of Engineering & Technology,"Meerut, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 87,100",,,https://collegedunia.com/college/24337-panchwati-institute-of-engineering-and-technology-meerut/courses-fees?course_id=2049
Vidya College of Engineering - [VCE],"Meerut, Uttar Pradesh",B.Tech Data Science,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/19161-vidya-college-of-engineering-vce-meerut/courses-fees?course_id=15263
Radha Govind Group of Institutions - [RGGI],"Meerut, Uttar Pradesh",B.Tech Electronics & Communicati...,"₹ 2,44,800",B.Tech Computer Science Engineering,"₹ 2,44,800",https://collegedunia.com/college/14684-radha-govind-group-of-institutions-rggi-meerut/courses-fees?course_id=2055
Madhu Vachaspati Institute of Engineering & Technology,"Allahabad, Uttar Pradesh",B.Tech Civil Engineering,N/A,B.Tech Computer Science Engineering,N/A,https://collegedunia.com/college/14177-madhu-vachaspati-institute-of-engineering-and-technology-allahabad/courses-fees?course_id=1938
KK College of Engineering and Management,"Dhanbad, Jharkhand",B.Tech Computer Science Engineering,"₹ 77,000",B.Tech Electrical Engineering,"₹ 77,000",https://collegedunia.com/college/55798-kk-college-of-engineering-and-management-dhanbad/courses-fees?course_id=2049
School Of Management Sciences - [SMS],"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 1,01,100",B.Tech Electrical Engineering,"₹ 1,01,100",https://collegedunia.com/college/55896-school-of-management-sciences-sms-lucknow/courses-fees?course_id=2049
BBS College of Engineering and Technology - [BBSCET],"Allahabad, Uttar Pradesh",B.Tech Computer Science Engineering,N/A,B.Tech Civil Engineering,N/A,https://collegedunia.com/college/12930-bbs-college-of-engineering-and-technology-bbscet-allahabad/courses-fees?course_id=2049
AXIS Institute of Technology and Management - [AITM],"Kanpur, Uttar Pradesh",B.Tech Mechanical Engineering,"₹ 70,000",B.Tech Computer Science Engineering,"₹ 1,07,050",https://collegedunia.com/college/12921-axis-institute-of-technology-and-management-aitm-kanpur/courses-fees?course_id=2094
Seth Vishambhar Nath Group Of Educational Institutions,"Lucknow, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 84,312",B.Tech Computer Science and Design,"₹ 84,312",https://collegedunia.com/college/58253-seth-vishambhar-nath-group-of-educational-institutions-lucknow/courses-fees?course_id=2049
Mangalmay Institute of Engineering and Technology - [MIET],"Greater Noida, Uttar Pradesh",B.Tech Data Science,"₹ 1,20,000",B.Tech Artificial Intelligence,"₹ 1,20,000",https://collegedunia.com/college/21440-mangalmay-institute-of-engineering-and-technology-miet-greater-noida/courses-fees?course_id=15263
Prabhat Engineering College - [PEC],"Kanpur, Uttar Pradesh",B.Tech Electrical Engineering,"₹ 2,44,800",B.Tech Mechanical Engineering,"₹ 2,44,800",https://collegedunia.com/college/18432-prabhat-engineering-college-pec-kanpur/courses-fees?course_id=2052
Apex Institute of Technology,"Rampur, Uttar Pradesh",B.Tech Computer Science Engineering,N/A,,N/A,https://collegedunia.com/college/12852-apex-institute-of-technology-rampur/courses-fees?course_id=2049
SD College of Engineering and Technology - [SDCET],"Muzaffarnagar, Uttar Pradesh",B.Tech Civil Engineering,"₹ 2,44,800",B.Tech Electronics & Communicati...,"₹ 2,44,800",https://collegedunia.com/college/14817-sd-college-of-engineering-and-technology-sdcet-muzaffarnagar/courses-fees?course_id=1938
Himalayan Institute of Technology and Management - [HITM],"Lucknow, Uttar Pradesh",B.Tech Electrical and Electronic...,"₹ 2,44,800",,,https://collegedunia.com/college/58547-himalayan-institute-of-technology-and-management-hitm-lucknow/courses-fees?course_id=2051
Naraina College of Engineering and Technology - [NCET],"Kanpur, Uttar Pradesh",B.Tech Computer Science Engineering,"₹ 2,44,800",,,https://collegedunia.com/college/14424-naraina-college-of-engineering-and-technology-ncet-kanpur/courses-fees?course_id=2049
Capital Engineering College - [CEC],"Khorda, Odisha",B.Tech Civil Engineering,"₹ 59,000",B.Tech Computer Science Engineering,"₹ 59,000",https://collegedunia.com/college/13162-capital-engineering-college-cec-khorda/courses-fees?course_id=1938
Balasore College of Engineering and Technology - [BCET],"Baleswar, Odisha",B.Tech Computer Science Engineering,"₹ 2,20,000",B.Tech Electronics & Telecommuni...,"₹ 2,20,000",https://collegedunia.com/college/12983-balasore-college-of-engineering-and-technology-bcet-baleswar/courses-fees?course_id=2049
Trident Academy of Technology,"Bhubaneswar, Odisha",B.Tech Artificial Intelligence a...,"₹ 1,08,300",B.Tech Biotechnology,"₹ 1,08,300",https://collegedunia.com/college/28850-trident-academy-of-technology-bhubaneswar/courses-fees?course_id=15865
GITA Autonomous College - [GITA College],"Bhubaneswar, Odisha",B.Tech Artificial Intelligence a...,"₹ 1,40,000",B.Tech Computer Science and Tech...,"₹ 1,40,000",https://collegedunia.com/college/13527-gita-autonomous-college-gita-college-bhubaneswar/courses-fees?course_id=15865
DAV institute of Engineering and Technology,"Palamu, Jharkhand",B.Tech Computer Science Engineering,"₹ 2,50,000",,,https://collegedunia.com/college/63833-dav-institute-of-engineering-and-technology-palamu/courses-fees?course_id=2049
Satyasai Engineering College - [SEC],"Balasore, Odisha",B.Tech Computer Science Engineering,"₹ 45,000",B.Tech Electrical Engineering,"₹ 45,000",https://collegedunia.com/college/14966-satyasai-engineering-college-sec-balasore/courses-fees?course_id=2049
Kazi Nazrul University - [KNU],"Asansol, West Bengal",B.Tech Data Science,"₹ 39,050",B.Tech Mining Engineering,"₹ 39,050",https://collegedunia.com/university/58450-kazi-nazrul-university-knu-asansol/courses-fees?course_id=15263
BA College of Engineering and Technology - [BACET],"Jamshedpur, Jharkhand",B.Tech Computer Science Engineering,"₹ 79,600",B.Tech Artificial Intelligence a...,,https://collegedunia.com/college/12929-ba-college-of-engineering-and-technology-bacet-jamshedpur/courses-fees?course_id=2049
Institute of Science & Technology - [IST] Paschim Medinipur,"Chandrakona, West Bengal",B.Tech Electrical Engineering,"₹ 58,000",B.Tech Mechanical Engineering,"₹ 58,000",https://collegedunia.com/college/57957-institute-of-science-and-technology-ist-paschim-medinipur-chandrakona/courses-fees?course_id=2052
GIFT Autonomous,"Bhubaneswar, Odisha",B.Tech Artificial Intelligence,"₹ 1,24,000",B.Tech Agricultural Engineering,"₹ 90,000",https://collegedunia.com/college/13528-gift-autonomous-bhubaneswar/courses-fees?course_id=16073
Uttar Banga Krishi Vishwavidyalaya - [UBKV],"Cooch Behar, West Bengal",B.Tech Agricultural Engineering,"₹ 30,600",,,https://collegedunia.com/university/26022-uttar-banga-krishi-vishwavidyalaya-ubkv-cooch-behar/courses-fees?course_id=2025
Guru Gobind Singh Educational Society's Technical Campus,"Bokaro, Jharkhand",B.Tech Computer Science Engineering,"₹ 79,350",B.Tech Electronics & Communicati...,"₹ 79,350",https://collegedunia.com/college/13652-guru-gobind-singh-educational-societys-technical-campus-bokaro/courses-fees?course_id=2049
Bhubaneswar Engineering College - [BEC],"Bhubaneswar, Odisha",B.Tech Aeronautical Engineering,"₹ 2,52,000",B.Tech Computer Science Engineering,"₹ 2,52,000",https://collegedunia.com/college/13080-bhubaneswar-engineering-college-bec-bhubaneswar/courses-fees?course_id=2023
Future Institute of Technology - [FIT] Garia,"Kolkata, West Bengal",B.Tech Artificial Intelligence a...,"₹ 1,45,700",B.Tech Civil Engineering,"₹ 1,45,700",https://collegedunia.com/college/57954-future-institute-of-technology-fit-garia-kolkata/courses-fees?course_id=15865
Central University of Jharkhand - [CUJ],"Ranchi, Jharkhand",B.Tech + M.Tech Computer Scienc...,"₹ 51,300",B.Tech + M.Tech Electrical Engi...,"₹ 51,300",https://collegedunia.com/university/25579-central-university-of-jharkhand-cuj-ranchi/courses-fees?course_id=2146
NIST University,"Berhampur, Odisha",B.Tech Electrical Engineering,"₹ 1,48,000",B.Tech Information Technology,"₹ 1,96,000",https://collegedunia.com/university/14454-nist-university-berhampur/courses-fees?course_id=2052
Aryan Institute of Engineering and Technology - [AIET],"Bhubaneswar, Odisha",B.Tech Electronics & Communicati...,"₹ 71,000",B.Tech Computer Science Engineering,"₹ 71,000",https://collegedunia.com/college/12887-aryan-institute-of-engineering-and-technology-aiet-bhubaneswar/courses-fees?course_id=2055
Gandhi Engineering College (GEC Autonomous),"Bhubaneswar, Odisha",B.Tech Civil Engineering,"₹ 1,09,800",B.Tech Electronics & Computer En...,"₹ 1,09,800",https://collegedunia.com/college/13525-gandhi-engineering-college-gec-autonomous-bhubaneswar/courses-fees?course_id=1938
Synergy Institute of Engineering and Technology - [SIET],"Dhenkanal, Odisha",B.Tech Civil Engineering,"₹ 83,000",B.Tech Mechanical Engineering,"₹ 83,000",https://collegedunia.com/college/15410-synergy-institute-of-engineering-and-technology-siet-dhenkanal/courses-fees?course_id=1938
HiTech Institute of Technology - [HIT],"Bhubaneswar, Odisha",B.Tech Computer Science Engineering,"₹ 55,000",B.Tech Electrical Engineering,"₹ 55,000",https://collegedunia.com/college/45149-hitech-institute-of-technology-hit-bhubaneswar/courses-fees?course_id=2049
Techno India - Banipur,"Paragana, West Bengal",B.Tech Electronics & Communicati...,"₹ 1,03,000",B.Tech Mechanical Engineering,"₹ 1,03,000",https://collegedunia.com/college/59203-techno-india-banipur-paragana/courses-fees?course_id=2055
Silicon Institute of Technology - [SIT],"Sambalpur, Odisha",B.Tech Electronics & Communicati...,"₹ 4,60,000",B.Tech Mechanical Engineering,"₹ 4,60,000",https://collegedunia.com/college/28581-silicon-institute-of-technology-sit-sambalpur/courses-fees?course_id=2055
Eastern Academy of Science & Technology - [EAST],"Bhubaneswar, Odisha",B.Tech Computer Science Engineering,"₹ 2,76,000",,,https://collegedunia.com/college/13431-eastern-academy-of-science-and-technology-east-bhubaneswar/courses-fees?course_id=2049
Seemanta Engineering College,"Mayurbhanj, Odisha",B.Tech Computer Science Engineering,"₹ 64,000",B.Tech Electrical and Electronic...,"₹ 64,000",https://collegedunia.com/college/14987-seemanta-engineering-college-mayurbhanj/courses-fees?course_id=2049
Bhadrak Institute of Engineering and Technology - [BIET],"Bhadrak, Odisha",B.Tech Computer Science Engineering,"₹ 94,000",B.Tech Civil Engineering,"₹ 94,000",https://collegedunia.com/college/13026-bhadrak-institute-of-engineering-and-technology-biet-bhadrak/courses-fees?course_id=2049
Krupajal Engineering College - [KEC],"Bhubaneswar, Odisha",B.Tech Computer Science Engineering,"₹ 72,000",,,https://collegedunia.com/college/14047-krupajal-engineering-college-kec-bhubaneswar/courses-fees?course_id=2049
Adamas University,"Kolkata, West Bengal",B.Tech Electronics & Communicati...,"₹ 5,39,000",B.Tech Computer Science Engineering,"₹ 7,73,000",https://collegedunia.com/university/55140-adamas-university-kolkata/courses-fees?course_id=2055
ABIT Group of Institutions - [ABIT],"Cuttack, Odisha",B.Tech Computer Science Engineering,"₹ 81,600",B.Tech Electrical and Computer E...,,https://collegedunia.com/college/12751-abit-group-of-institutions-abit-cuttack/courses-fees?course_id=2049
Murshidabad College of Engineering and Technology,"Murshidabad, West Bengal",B.Tech Computer Science Engineering,"₹ 87,000",B.Tech Electrical Engineering,"₹ 87,000",https://collegedunia.com/college/14380-murshidabad-college-of-engineering-and-technology-murshidabad/courses-fees?course_id=2049
Camellia School of Engineering and Technology - [CSET],"Kolkata, West Bengal",B.Tech Computer Science Engineering,"₹ 1,42,500",B.Tech Electronics & Communicati...,"₹ 1,22,500",https://collegedunia.com/college/13159-camellia-school-of-engineering-and-technology-cset-kolkata/courses-fees?course_id=2049
Oxford College of Engineering and Management - [OCEM],"Bhubaneswar, Odisha",B.Tech Civil Engineering,"₹ 85,000",B.Tech Computer Science Engineering,"₹ 85,000",https://collegedunia.com/college/14538-oxford-college-of-engineering-and-management-ocem-bhubaneswar/courses-fees?course_id=1938
Rayagada Institute of Technology and Management - [RITAM],"Rayagada, Odisha",BE Mechanical Engineering,"₹ 40,000",BE Civil Engineering,"₹ 40,000",https://collegedunia.com/college/14761-rayagada-institute-of-technology-and-management-ritam-rayagada/courses-fees?course_id=1983
Sophitorium Engineering College - [SEC],"Khorda, Odisha",BE Mechanical Engineering,"₹ 50,000",BE Electrical Engineering,"₹ 50,000",https://collegedunia.com/college/15176-sophitorium-engineering-college-sec-khorda/courses-fees?course_id=1983
Sister Nivedita University - [SNU],"Kolkata, West Bengal",B.Tech Computer Science and Busi...,"₹ 2,55,000",B.Tech Cyber Security,"₹ 2,55,000",https://collegedunia.com/university/59341-sister-nivedita-university-snu-kolkata/courses-fees?course_id=16847
Gandhi Institute of Advanced Computer and Research - [GIACR],"Rayagada, Odisha",B.Tech Electrical and Electronic...,"₹ 2,80,000",B.Tech Computer Science Engineering,"₹ 2,80,000",https://collegedunia.com/college/6193-gandhi-institute-of-advanced-computer-and-research-giacr-rayagada/courses-fees?course_id=2051
Gandhi Institute for Education and Technology - [GIET],"Bhubaneswar, Odisha",B.Tech Electronics & Communicati...,"₹ 99,500",B.Tech Computer Science Engineering,"₹ 99,500",https://collegedunia.com/college/13526-gandhi-institute-for-education-and-technology-giet-bhubaneswar/courses-fees?course_id=2055
